QuestionId,QuestionText,QuestionTextLength
64,I= EediHow many pairs ofparallel sides doesthis shape have?Fodi 2016,68
65,I= EediWhich of these is not a factor of 18?Thirty-sixSixNineEighteenFodi 2016,78
66,"I= EediTom and Katie are arguing about how to calculatethe total sum of interior angles in this trapeziumTom says the total is 3608 because it isquadrilateral:Katie saystriangle totals 180* and a quadrilateraltotals 360""_so the total is 5409Who is correct?OnlyOnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016",315
67,I= EediShape P is rotated 1800through the origin.Where will the red point beon the rotated shape?Fodi 2016,106
68,I= EediJo and Paulare arguing about powers.Jo says there is no value ofm that means 3m is even.Paul says there is no value of n that means 4n ends in 0.Who is correct?OnlyOnlyBoth JoNeither isJoPauland PaulcorrectFodi 2016,222
69,I= Eedi2 + 10 X 39.530.5Fodi 2016,33
70,I= EediShape P is rotated 1800through the origin.Where will the red point beon the rotated shape?Fodi 2016,106
71,I= Eedix (-6)3~18~21818Fodi 2016,32
72,I= EediThis is a number from theMayan number system:What number is it?1323Fodi 2016,83
73,I= EediCalculate5105102Fodi 2016,32
74,I= EediWhat is the areaof this shape?3.5Not enoughinformationFodi 2016,70
75,"I= EediIf 9 is a factor of a number, then another factor ofthat number must be__4 and 518Impossible to sayFodi 2016",115
76,I= EediWhich of the following statements is truewhen n-2?6n > n + 66n < n + 66n = n + 6Not enoughinformationFodi 2016,117
77,I= EediTom and Katie are arguing about how to countthe number of dots in a Pattern 20.Tom does: 4 x 20 + 2PatternKatie does: 4 x (20 + 2) - 6Who is correct?Pattern 4OnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016Only,224
78,I= EediWhich image completes a symmetric figure on the Geo board?Fodi 2016,74
79,I= EediWhich number is 2 greater than _1.6?0.4-3.6~1.4Fodi 2016,63
80,ISEedi6++++++++ ++ >-10-8-7-6-5-4-3 -2 -11   2Which of the following two calculationsare represented by thearrow above?10 - 2 = 8~2 +10 = 8~2 +8 = 10-2 - 10 = 810 + 8 = -28 _ 10 =-2~2 - 8 = -108 + 10 = -2Fodi 2016,213
81,I= EediWork out:121210128Fodi 2016,34
82,I= EediWhich expression shouldreplace the star in the2a3baddition pyramid?2a-b2a2b4a3bZab4a - 4b2a - bFodi 2016,111
83,I= EediTom and Katie are arguing aboutthe size of the marked angleTom says it is 1508Katie says it is 2109Who is correct?OnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016Only,180
84,IF EcdiTom and Katie are arguing aboutalternate angles:Tom says anglesduterndicKatie says anglLquaiWnocotfect?OnlyOnlyBcth TomNcihcrccnrec,138
85,EediABCD is a trapezium where AB is parallel to CD.For which of the diagrams can you conclude that AngleABC is equal to Angle BAD?Ecdi Z018,139
86,I= EediIn which region does 72 belong?Multiples of 8Multiples of 9Fodi 2016,75
87,"I= EediAfter their evening meal, Jack and Beckyboth look at their watches.Jack says the time is 7.45 pmBecky says the time is 06.45Who is correct?Both JackBoth JackOnly JackOnly Beckyand Beckyand Beckyare correctare incorrectFodi 2016",234
88,"I= Eedi""Common multiples of 2 and 5 are also multiples of25""Is this statement__always truesometimesnever trueImpossible totruesayFodi 2016",138
89,I= EediHow many degrees are there in three-quartersof a turn?7509018082708Fodi 2016,83
90,I= Eedia = 4b = 3aba + bWhat symbol should replace the star?Need moreinformationFodi 2016,89
91,I= EediSa2b3 - a -b3ab3abCannot besimplifiedFodi 2016,53
92,I= Eedi20Which of the following calculations would correctlywork out the area of the shaded section?8 X 20 _ 8X 68 X 20 + 8 X 68 X 14 - 8 X 68 X 14 + 8 X 6Fodi 2016,164
93,I= Eedi17Which calculation couldthe following diagramrepresent an efficientway of doing?34 X 1034 X 5(2X 17) + (2 x 5)17 X 5Fodi 2016,133
94,I= EediPaul are arguing about unique trianglesJo says you can construct only one triangle when you know thelengths of all three sidesPaul says you can construct only onetriangle when you know thevalues of all three anglesWho is correct?OnlyOnlyBoth JoNeither isPauland PaulcorrectFodi 2016and,292
95,"I= EediIlncito scalelConstruct the following triangle_CmMeasure Angle ACB_8 cmWhat is its value?7 cm7684758""1170Fodi 2016",121
96,I= EediWhat is 4 written as a fraction?You cannot writewhole numbersfractionsFodi 2016,86
97,I= EediUsing theon the right;which of the followingexpressionsgive youthe longest length?2r3p2p + q2qFodi 2016keywould,118
98,I= EediWhat is the lowest common multiple of 12 and15?18015Fodi 2016,68
99,I= EediWhich of the following fractions is the arrowpointing to?531328100201050Fodi 2016,88
100,I= EediThis is the first row of a24factor tree_What number shouldreplace the questionmark?122172Fodi 2016,105
101,IF EcdiTom and Katie are arguingthis ring 0f 12equally spaced dotsTom says You can connect dotsJndkerruiathexagonKatie savs vou can connect dotsmarefeqularoctagonWhoconeceOnlyCnlyBcth TomNcithcrconrec,200
102,I= EediPrime factors ofPrime factors of 60What numbershould replaceinthe Venn diagram?Impossible to say30without moreinformationFodi 2016,137
103,I= Eedi(-3) x (-1)~3Fodi 2016,29
104,I= EediPrime factors ofPrime factors of 90What numbershould replaceinthe Venn diagram?1236108Fodi 2016,102
105,I= Eedi[cat t2 $20 0What is the size ofangle p?5594581009Not enoughinformationFodi 2016,87
106,"I= EediTom and Katie are talking about angle relationships_Tom says vertically opposite angles are equal.Katie says for parallel lines, alternate angles are equal.Who is correct?OnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016Only",237
107,"I= EediIf each square on theis4cm bycm, what isthe area of the triangle?cm2cm216Fodi 2016gridcm?cm?",99
108,I= EediWhich of these fractions could not be placed between thefractions marked on the number line?6625131006245Fodi 2016,121
109,I= Eedi[cot to sca0)What is the area of therectangle marked P?m283Im2m?m2Fodi 2016,82
110,"EcdiTnc linc -cemcntoncsidc ofasuJicVcrc Onne sounrecoulabe (-2.,4)Paul savs J vertex 01 the squarecoulo br(1,5).conioHoth JoNeiher |5und PjuiCOie{C",148
111,I= EediWhat are the two missing numbers?+8+8~3-5and 5~11and 5~11and 6~5 and 11Fodi 2016,87
112,"I= EediIf each square on theisScm by 5 cm, what isthe area of the triangle?12cm2cmcm2cm22525Fodi 2016grid",105
113,I= EediWork out:15551015133Fodi 2016,36
114,I= EediWhat is a third of a seventh?31021Fodi 2016,50
115,I= EediX ? =72Fodi 2016,23
116,"I= Eedi[cat t2 $20 0Ifthese two dashed lines are parallel, what size mustangle q be?Not enough79010181110informationFodi 2016",125
117,I= EediWhat is the width of each of the intervals on the number line?10333Fodi 2016,83
118,"I= Eedi8w <Using the diagram, which ofthe following correctlycompletes the inequalityabove?p , 9 ,r and w are positive numbers_2p3r4r3gFodi 2016",144
119,I= Eedia = 4b = 3baWhat symbol should replace the star?Need moreinformationFodi 2016,84
120,I= Eedia =1b = 4(~a)b~baWhat symbol should replace the star?Need moreinformationFodi 2016,89
121,I= EediHow many times doesgo into 15?45752575Fodi 2016,54
122,I= Eedia =1b = 4a - bb -aWhat symbol should replace the star?Need moreinformationFodi 2016,90
123,IF EcdiWhat symbol shouldreplace the star?Heed Inorentormation,62
124,IF EcdiJo and Paul are arguing about thebest way toPutein ]countthe number of squaresin Pattern 15does: 15Puletn $Paul does: (152) *3 _WhocorrectOnlyCnlyBoth JoNcithcrconrec,173
125,I= EediWhat is the perimeter of this shape?141510Fodi 2016,58
126,I= EediA = 23 x 33 X 52then 10A expressed as a product of its primes24 x 33 x 5323 x 33 X 54203 X 33 X 5223 x 33 X 503Fodi 2016,127
127,I= Eediof 7=2 X7200.50.050.220Fodi 2016,39
128,I= Eedi3612364914Fodi 2016,26
129,"I= EediHarvey has three cards with numbers written onthem_have a cube number, a prime number and amultiple of 9.Which set of numbers could Harvey have?8,7,31,2,561,2,98,1,36Fodi 2016",182
130,"I= EediLine segment P joins up (1,1) and (3,6).Line segment Q joins up (3,1) and (7,3).Which line segment is longer?They are theWe need moresame lengthinformationFodi 2016",171
131,I= EediThe fractions in the two circlesbelow add to give the fraction inthe circle above.What should replace the questionmark?1131353523Fodi 2016,145
132,IF Ecdiwithout measuring; whatcan You sy abouttnearea ofthis shape?Inc Jrcj uixInc &ej k moreJhc &eJ / cqujltoIe @mooiibetothitIlWhin 47Khcu #tliunrt,149
133,"I= Eedi3,9,18These are some of the factors of.1827Fodi 2016",59
134,I= EediWhich of the following calculations isrepresented on the thermometer?-3 + 9 = 63 + 6 = 96 + 9 = -3-3+6 = 9Fodi 2016,122
135,I= EediWhat can you say aboutthe areas of the twosquares?The blue square hasThe red square has aIt is impossible to sayThe areas are the samelarger arealarger areawithout measuringFodi 2016,189
136,I= EediEliza has used3of her train track set to build a circuit: Thisused 40 pieces of track. How many pieces are in Eliza' s traintrack set altogether?Which of the following calculations would give the correctanswer to this problem?40 X540402403 Fodi 2016,256
137,I= EediJo and Paul are trying to draw shapeswith perimeter 4(p + q)Jo draws:Paul draws:ppSide lengthsWho is correct?OnlyOnlyBoth JoNeither isJoPauland PaulcorrectFodi 2016,171
138,I= Eedi3n + 4n7nnCannot be12n2TnsimplifiedFodi 2016,51
139,I= EediWhat isas adecimal?0.30.380.375None of theseFodi 2016,60
140,I= EediWhat should replace the question mark?3632Fodi 2016,58
141,I= EediJo and Paul are arguing prime factors.Jo says 1 is a prime factor of 24.Paul says 2 is a prime factor of 24.Who is correct?OnlyOnlyBoth JoNeither isPauland PaulcorrectFodi 2016,183
142,I= EediTom and Katie are arguing about statementsthat can be made about the equation on theright:x =y -4Tom says this is always true: Zx > y _ 4Katie says this is always true: x >Who is correct?OnlyOnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016y - 5,258
143,I= EediThe sum of two bricks is equalto the brick above_What number should replace5the star?Fodi 2016,101
144,I= EediofFodi 2016,18
145,I= EediJo and Paulare trying to write differentcalculations for the diagram on the left.20Jo writes: 4 x (_5) = -20Paul writes: (-202 = -5Who is correct?OnlyBoth JoNeither isPauland PaulcorrectFodi 2016Only,206
146,I= EediJo and Paul are talking about constructing triangles.Jo says you need 2 side lengths in order to constructtriangle_Paul says you needprotractor to construct atriangleWho is correct?OnlyOnlyBoth JoNeither isJoPauland PaulcorrectFodi 2016,243
147,I= EediJo and Paul are discussing 32X 42Jo says 32 X 42 = 124Paul says 32x 42 = 122Who is correct?OnlyOnlyBoth JoNeither isPauland PaulcorrectFodi 2016,151
148,I= Eedi4 +1 <pUsing the diagram on theright; is the expressionabove__.Diagram not to scaleaiwayssometimesneverNeed moretruetruetrueinformationFodi 2016,151
149,"I= EediTom and Katie are arguing about multiplication and division:Tom says when you multiply a whole number by a positive fractionsmaller than 1,the answer is always smaller than the original wholenumber.Katie says when you divide a whole number by a positive fractionsmaller than 1,the answer is always bigger than the original wholenumber.Who is correct?OnlyBoth TomNeither isTomKatieKatiecorrectFodi 2016Onlyand",415
150,I= EediWhich expression shouldreplace the star in the2a3baddition pyramid?2a-b2a2b4a6bab4a4b6a6bFodi 2016,105
151,I= EediJo and Paulare talking abouthow to transform shape P toshape Q.Jo says you can do it using asingle translation.Paul says you can do it usingtwo reflections.Who is correct?OnlyOnlyBoth JoNeither isPauland PaulcorrectFodi 2016,231
152,I= EediTom and Katie are arguing about the best wayto count the number of dots in a Pattern 15.Tom does: 15 x 4 + 2PatternKatie does: (15 + 2) x 4 _ 6Who is correct?Pattern 4OnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016Only,233
153,I= EediConvert 25to an improper fraction1121115510Fodi 20165,60
154,I= EediIn which region does 69 belong?Multiples of 6Multiples of 9Fodi 2016,75
155,I= Eedi568This is an isosceles triangle:Calculate the size of angle p_scalo]5696891249Not enoughinformationFodi 2016,116
156,I= EediWhat is the areaof this shape?4.5Fodi 2016,49
157,I= EediTom and Katie are arguing about the factors of 9Tom says 1 is a factor of 9Katie says 9 is a factor of 9Who is correct?OnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016Only,185
158,I= Eedi(-2)4-16~816Fodi 2016,28
159,I= Eedip - 4 < 1Using the diagram on theright; is the expressionabove__.Diagram not to scaleaiwayssometimesneverNeed moretruetruetrueinformationFodi 2016,153
160,"I= Eedi2g + 3r =Using the diagram, which ofthe following correctlycompletes the equationabove?14w3p10wFodi 2016",111
161,I= Eedi1+ (-2)x 5=~11~5-15Fodi 2016,35
162,I= EediWhat is the equation ofthis line of symmetry?X =-3.5X = -2x =-1x =1Eedi ?010,83
163,I= EediWhich of these is not a factor of 60?FifteenTwelveSixteenFodi 2016Sixty,78
164,I= EediTom and Katie are arguing about subtracting fractions_Tom writesKatie writes5113Who is correct?OnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016Only,161
165,"I= EediIs the following statement always true, sometimes true, ornever true?One more than a multiple of 3 is a multiple of 4SometimesNot enoughAlways trueNever truetrueinformationdecideFodi 2016",194
166,I= EediJo and Paulare arguing about how to solve this problem:52=Jo says a correct step in the solution is this:-27Paul says a correct step in the solution is this:()3=Who is correct?OnlyBoth JoNeither isPauland PaulcorrectFodi 2016Onlv,236
167,"I= EediHere are 3 vertices of a rectangle:(0,3),(4,-1),(2,-3),What are the coordinates of the 4th vertex?(0,1)(4,1)(-2,1)(-2,-3)Fodi 2016",137
168,I= EediThis is the first row of a48factor tree_What number shouldreplace the questionmark?451442416Fodi 2016,108
169,IF EcdiMultipicsWhich ofthefollowing numbersMultiplescould replace theshapes?,77
170,I= EediUsing theon the right; which ofthefollowing expressions give the perimeterof this shape?ppSide lengths4p + 3qTpq3p + 4q3(p + q)Fodi 2016key,146
171,I= EediWhich angle is corresponding to angle pFodi 2016,55
172,I= EediInctto scale](all moastromontsTara has designed her ownThe purple section has twoofparallel sides_12What' s the area of the purple10section?12 cm224 cm228 cm240 cm2Fodi 2016flag:pairs,190
173,I= EediJane has a quarter of a 6 litre bottle of lemonade:She pours all of it into an emptylitre tub_What fraction ofthe tub now has lemonade in it?4Fodi 2016,158
174,"I= EediHere are 3 vertices of a rectangle:(-6,-2),(-3,2),(0,0),What are the coordinates of the 4th vertex?(-6,_4)(-3,-2)(-3,-4)(-2,-3)Fodi 2016",143
175,I= EediThe perimeter of this isosceles triangle isFind the length ofthe side labelled with an xThere is no31515possibleanswerFodi 2016,134
176,IF EediDescribethe movements toBet frompointvpointWuncsoulh } squjilsWest 5 *uJicsADuth{qujooMuncnorth3hujileentaft_norn3 squjfes,129
177,I= Eedi-5-12~3232Fodi 2016,26
178,I= EediWhat numberbelongs in the box?+ 6 = 410-2Fodi 2016,57
179,I= EediX ? =52are no3610values that makethis calculationworkFodi 2016There-,75
180,I= EediX3 =?39Fodi 2016,23
181,I= EediShape P is rotated 1800through the origin.Where will the red point beon the rotated shape?Fodi 2016,106
182,I= EediJasmine goes to holiday club which starts at 9.45 amThe club finishes at 4.00 pmmany hours does she spend at club?7.256.156.257.15Fodi 2016How,149
183,I= EediTemperatureIpmlamMonday+5Tuesday+8Wednesday+6ThursdayFriday+3Which of the following calculations would correctly work out thedifference between the temperature at 1pm on Mondayand thetemperature at lam on Thursday?5 _ 25 + (-2)5 - (-2)(-2) +5Fodi 2016,258
184,I= Eedia = 4b = 3a - bb -aWhat symbol should replace the star?Need moreinformationFodi 2016,91
185,I= EediWhich symbols make the following statement correct?-5Fodi 2016,69
186,I= Eedi(-0.2) +(-3 =551o10Fodi 2016,35
187,I= Eedi7 X 12 = 32 + 524x7X12 =What should replace the star to preserve equality?4(32 + 52)32 + 52 X 44x32 + 5232 + 52 + 4Fodi 2016,131
188,I= EediTom and Katie are arguing about a number which has beenexpressed in the following way:34 x 52 x 72Tom says 3 is a factor of the number_Katie says 9 is a factor of the number.Who is correct?OnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016Only,255
189,I= EediPrime factors of 66Prime factors of 60Here is the completedVenn diagram_What calculationworks out the highestcommon factor of 66and 60?11X2x3x2x52X311X2X511x2x3X 5Fodi 2016,179
190,I= EediWhich of the following numbers is a factor of 60 andmultiple of 6.1220120Fodi 2016,89
191,I= EediTom and Katie are arguing about howto reflect the object in the line ofrelcctionreflection. Who reflects it correctly?Tom does this:Katie does this:OnlyOnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016,214
192,"I= EediTom and Katie are arguing about multiplication and division:Tom says when you multiply, the answer is always biggerthan what you started with_Katie says when you divide, the answer is always smallerthan what you started with:Who is correct?OnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016Only",306
193,I= EediTom and Katie are arguing about differentways of writing the expression on the right:12g + 20Tom says you could write it as:2(6g + 10)Katie says you could write it as4(39 + 5)Who is correct?OnlyOnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016,256
194,I= EediWhich combination ofmathematical instruments hasbeen used to construct thistriangle with lengths shown?I1 cmInctto scale]ProtractorRulerRulerRulerCompassCompassProtractorProtractorCompassFodi 2016,203
195,I= Eedi5 x (_4)20~20Fodi 2016,29
196,I= EediWhich of the followingsymbols should replace thestar in terms of length?Spq +rNeed moreinformationFodi 2016,114
197,I= EediWhich of the following is an example of associativity?2X6 = 6X22 x (5+ 6) = 2x5+2X 62 x (5 X 6) = (2x5) x 62 x (5 + 6) = (2 + 5) x 6Fodi 2016,148
198,I= EediTom and Katie are trying to calculate the answer to 29 X 8Tom does this: 30 X 8 - 1X 8Katie does this: 29X 2x2X 2Who is correct?OnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016Only,194
199,I= EediJohn's flat is on floor 4_The gym is on floor ~1_How many floors does John need to go down1to get from his flat to theFodi 2016gym?,138
200,I= EediWhat is anexpression for theperimeter of thisrectangle?Not enough2a + 2baba + binformationFodi 2016,106
201,"I= EediWhich angle is alternate to angle p""Fodi 2016",52
202,"I= EediAfter lunch, Julie and Kate both look attheir watchesJulie says the time is ""twelve thirty""Kate says the time is 13.30Who is correct?Both JulieBoth JulieOnly JulieOnly Kateand Kate areand Kate arecorrectincorrectFodi 2016",228
203,I= Eediscalo]What is theperimeter of thiscompound shape4cm10cmmade withrectangles?3cm7cm34 cm31cm24 cmNot enoughinformationFodi 2016,132
204,"IF BediWunicn setcocrdinates 5not on the perimeterrectangle?(-3,0)(2,=1)(-3,-1)(-2,2)'oftna",91
205,I= EediWhat does the vectormean?5 right and 2 down5 left and 2 down5 right and 2 up5 left and 2 upFodi 2016,107
206,IF Ecdiand Paul areaooutcreating equations using thediagramthe rightCi3(Zw =Paul savs: 2(p=Zw)Whocorrect?BolaeoNeiherand PaulCDMTEcLtaluce,138
207,"I= Eedi[not to sca &,What is the size of angle y?45836930*Not enoughinformationFodi 2016",88
208,I= EediA group of 7 friends shares 3 chocolate bars equally.What fraction of a bar do they each33Fodi 2016get?,110
209,I= EediWhich statement about the temperatures -58€ and 28C is true?28C is 39C28C is 78€28€ is 3*Cis 78Chotter thanhotter thancolder thancolder than58C58C58C58€Fodi 201628C,171
210,I= Eedi3k - 2 < mUsing the diagram on theright; is the expressionabove__.aiwayssometimesneverNeed moretruetruetrueinformationFodi 2016,134
211,I= Eedicommon factor of 8 and 20 is_4020Fodi 2016,49
212,I= EediWhat word do we use to describe the relationship:7x9 = 5x9+2X9CommutativityFactorsAssociativityDistributivityFodi 2016,125
213,"I= EediIf 12 is a factor ofa number, then another factor ofthat number must be__5 and24Impossible to sayFodi 2016",113
